word,explanation,example_sentence
sixteen,"〈C〉(数の)16;16の記号(16,XVIなど)  / 〈U〉(24時間制の)16時,16分,16歳  / 《複数扱い》16人,16個  / 16の,16人の,16個の  / 《補語にのみ用いて》16歳の(で)",She celebrated her sixteenth birthday with a big party.
sixty,"〈C〉(数の)60;60の記号(60,LXなど)  / 〈U〉60歳  / 《複数扱い》60人,60個  / 《the sixties》(世紀の)60年代;《one's sixties》(年齢の)60代  / 60の,60人の,60個の  / 《補語にのみ用いて》60歳の(で)",There are sixty students in the class.
size,"〈U〉〈C〉(人や物の) 大きさ / 〈C〉(帽子・靴・シャツなどの) サイズ, 寸法",The size of the room is very large.
skill,"〈U〉(…の)熟練,技量,腕《+in+名(doing)》  / 〈C〉特殊技術,特殊技能",He showed his skill in playing the piano.
skirt,"(女性用の)スカート  / (コート・ドレスなどの腰から下の)すそ  / (車両・機械などの)すそ部,覆い,スカート  / 《複数形で》(…の)周辺,はずれ,郊外《+of+名》  / 《俗》女,娘(特にa bit of skirt,a piece of skirtの形で快楽の対象としてふざけて)",She wore a long black skirt.
sky,"空,上空  / 《しばしば複数形で》空模様,天候,気候  / 《しばしば複数形で》天国,天  / 〈ボール〉‘を'高く打ち上げる",The sky was beautiful and blue.
sleep,"眠る  / 永眠する,(死んで)葬られている  / 〈人〉‘を'泊める[設備がある]  / 《a+形容詞+sleepを目的語にして》…‘を'眠る",He slept well last night.
slow,"(速度・動作などが)遅い,のろい  / 《補語または名詞の後にのみ用いて》(時計などが)遅れている  / ゆったりした,あわてない  / (人が)理解の遅い,頭の鈍い  / (生活・パーティーなどが)活気のない,おもしろくない",The tortoise was slow but steady.
small,"(大きさが)小さい,小形の;(量が)少ない,わずかな  / 取るに足りない,ささいな(trivial)  / 《名詞の前にのみ用いて》(仕事・活動などが)小規模の,ささやかな  / 心が狭い,利己的な  / (音・声が)弱い,小さい  / (文字が)小型の,小文字の  / 《the~》小さいもの;(…の)細い部分《+of+名》  / 《複数形で》《英》(衣類・ハンカチなどの)小物,小間物  / 小さく,細かく  / (声などが)低く,弱く  / 小規模に,こぢんまりと",The room was small.
smart,"(頭の働きが)気のきいた,抜け目のない, 賢い / (動作が)機敏な,てきぱきした / 現代風の / (人・服装などが)きちんとした",He is a smart boy.
smell,〈U〉嗅覚(きゅうかく)  / 〈C〉(…の)におい《+of+名(doing)》;《形容詞句を伴なって》悪臭  / 〈C〉《a smell》(…を)かぐこと《+at(of)+名》,A smell of lilies filled the room.
smile,"〈C〉ほほえみ, 微笑, 笑顔 / (太陽・幸運・運命などの）ほほえみ, 恵み",He greeted me with a smile.
smith,かじ屋;金属細工人 / 製造(製作)人,The smith is crafting a new sword.
smoke,"〈U〉煙,霧 〈C〉喫煙",The sky was filled with a thick smoke from the fire.
smoking,煙ること / 喫煙,Smoking is not allowed in this restaurant.
snake,ヘビ(蛇)  / (蛇のように)ずるく陰険な人  / へび(配水管などの詰まった物を取り除く道具)  /,I saw a snake in the park.
snow,"〈U〉雪  / 〈C〉《単数形で》降雪;《複数形で》積雪  / 〈U〉〈C〉雪のような物;(特に)コカイン,ヘロイン",The snow was cold and crisp.
snowy,"雪の,雪の降る  / 雪におおわれた,雪深い  / 雪のように白い",The moon was shining in the snowy night.
so,"《等位接続詞》《理由・結果を表して》だから, その結果, そういうわけで / 《つなぎ表現》《文・節の頭に用いて》それで, そして([[then]]) / （前言などから推論できる結論を述べて)ということは, つまり / 《話》 (他人に行為などを非難されて)確かに…だが  / 《話題転換》さて, ところで（[[well]], [[anyway]]） / 《会話終了》《話》 それでは([[then]]) / 《目的を表して》…するために, ...するように","The store was closed, so we had to find another place to buy groceries."
soccer,サッカー,I like to play soccer.
social,"社会の,社会的な  / 社交界の,上流社会の  / 《名詞の前にのみ用いて》社交の,親睦(しんぼく)の  / (アリ・ハチなどが)群居する  / 親睦(しんぼく)会,懇親会",He is a very social person.
sofa,"長いす,ソファー",I love to relax on the comfortable sofa in my living room.
solve,"〈問題など〉‘を'解く,解明する,解決する",He solved the puzzle in five minutes.
some,"《複数名詞または数えられない名詞を伴って》いくらかの,多少の,少しの / 《複数名詞または数えられない名詞を伴って》一部の,中には…もある,…であるものもある / 《単数普通名詞を伴って》ある…,何かの,どこかの  / 《数詞を伴って》約…,…くらいの,…ばかり / 《数量を表す名詞を伴って》相当多い,かなりの / 《話》たいした,相当な,なかなかの",I have some apples.
some,"いくらか,多少,少し,幾分 / ある人たち,あるもの, …する人もある",Some people like to eat spicy food.
someone,"｟かたく｠誰か,ある人",Someone has to take responsibility for this.
something,"何か,あるもの,あること  / (…を)いくらか,多少,いささか《+of+名》  / 重要なこと(もの,人),かなりのもの,相当な人  / 何か現実のもの;実在するもの,実在  / 何か食べ物(飲み物)  / 何々,これこれ  / いくぶん,多少","I don't know what it is, but I'll find out something."
son,"息子 / 《複数形で》(男子の)子孫 / 《文》《比喩(ひゆ)的に》(場所 / 主義などの)子,後継者 / 《年長者が年少者に呼び掛けて》 / お前さん / 《the S-》イエスキリスト",My son is a student
song,"〈C〉歌,歌曲,唱歌  / 〈C〉〈U〉(歌うための)詩,詩歌  / 〈U〉歌うこと  / 〈U〉〈C〉(鳥・小川などの)歌うような声(音)",The song he sang was beautiful.
soon,"間もなく,近いうちに  / 早く,早目に  / 速やかに,さっさと",I will finish it soon.
sorry,"《補語にのみ用いて》悲しいと思う,すまないと思う,残念に思う  / 《名詞の前にのみ用いて》くだらない,貧弱な  / 《名詞の前にのみ用いて》哀れな,惨めな  / 《丁重な断り・謝罪・弁解の表現として》すみませんが,悪いけど,ごめんなさい  / 《おもに英》《よく聞きとれなかったときに用いて》おそれいりますが[もう一度]",He was sorry for his mistake.
soup,〈U〉スープ / 濃霧 /,I would like to have a bowl of soup.
speak,"話す,しゃべる,物を言う,口をきく  / 話をする,うわさをする  / 演説する,講演する,スピーチをする  / 〈物事が〉表す,物語る  / 〈楽器・大砲などが〉音を出す,鳴る  / 〈言葉・意見など〉‘を'言う,話す,述べる  / 〈言語〉‘を'話す,使う  / 〈物事が〉…‘を'表す,物語る,示す  / (海で)〈他船〉‘と'通信する,通話する  / …を表す,であることを示す",He spoke to the audience.
special,特別な / (他と異なって) 特殊な / (人・物事に)独特の,He has a special ability.
speech,"〈U〉話す力,話す能力・〈U〉話すこと,言葉・〈C〉演説,話,スピーチ・〈U〉(人の)話し方・〈C〉〈U〉(特定の)言語,方言,なまり・〈C〉(役者の)のせりふ・〈U〉話法",The Prime Minister gave a powerful speech.
spell,"〈C〉しばらくの間,一時 / (ある天気の) ひと続き  / (病気などの) ひとしきり ,発作 / ひと仕事,(仕事の)交替",I had a short spell in the hospital.
spend,消費する、（時を）過ごす,I spent all my money.
sport,"〈U〉《集合的に》スポーツ,運動競技  / 〈C〉(個々の)スポーツ,運動競技  / 《複数形で》《英》運動会,競技会  / 〈U〉気晴らし,慰め,娯楽  / 〈C〉《話》スポーツマンらしい人,さっぱりした人,いい人  / 〈C〉(動・植物の)変種(mutant)",I enjoy doing various kinds of sports.
spot,場所 / 斑点,The cat is sleeping at the spot behind the couch.
spring,"〈C〉〈U〉春 / 〈C〉跳ぶこと / バネ / 《複数形で》 泉 / 〈U〉《...の》弾力 《of, in ...》 /",The birds are singing in the spring.
spy,〈C〉スパイ / 探偵,The spy was caught in the act of espionage.
stage,〈C〉舞台 / (発達などの)段階,The play was performed on a large stage.
stand,〈C〉立つこと / 台 / 売店 / 観覧席,I'm waiting at the bus stand.
star,星 / 恒星,Patsy was the star of the show.
start,始め；開始,The start of the race was delayed due to bad weather.
start,"始める,　出発する",I'm going to start a new project next week.
station,"〈C〉(人・物の定められた)場所,位置,持ち場,部署  / 〈C〉駅,発着所,停留所;駅舎  / 〈C〉(官庁などの)署,局,本部  / 〈C〉(テレビ・ラジオの)放送局  / 〈C〉事業所,研究所  / 〈C〉(軍隊の)駐留地,軍港,基地  / 〈U〉〈C〉《文》身分,社会的地位  /",The train arrived at the station.
stay,"〈自〉《副詞を伴って》とどまる, いる / 《...に》滞在する, 泊まる 《at, in ...》 / じっとしている / 《~ ...（名, 形, 過分）》...のままでいる",I will stay here for the night.
step,"〈自〉《方向を表す副詞[句]を伴って》(…の方へ)歩む,一歩踏み出す,行く",He stepped out of the room.
still,静止した / 静かな,The kids found it hard to stay still.
stone,"〈U〉(物質としての)石,石材  / 〈C〉小石,岩石の小片  / 〈C〉《複合語を作って》(特定の目的に用いる)石材  / =precious stone  / 〈C〉(形・堅さが)石に似たもの(あられなど)  / 〈C〉(腎臓・膀胱(ぼうこう)などの)結石  / 〈C〉(果実の)種,核  / 〈C〉《英》(体重を表す重量単位の)ストーン(14ポンド(約5.35キログラム)に相当)  / 石造りの,石の・石器製の  /",The stone was hard and cold to the touch.
stop,停止 / 中止 / ストップ,I pressed the stop button and the train came to a halt.
stop,"〈動いているもの〉‘を'止める  / 〈供給など〉‘を'停止する  / …‘を'阻止する,やめさせる  / 〈自分がしていること〉‘を'やめる,中断する  / 〈穴・口など〉‘を'ふさぐ,〈びんなど〉‘に'せんをする  / 〈動いているものが〉止まる,停止する  / 〈仕事・話などが〉中断する;〈雨などが〉やむ  / 〈人が〉仕事(話など)をやめる,手を休める",Please stop the car.
store,店舗 / 貯蔵 / 格納 / 店,I need to go to the store to buy some groceries.
story,"〈C〉(事実に基づいた) 話, 実話 / (架空の)物語 / 〈U〉(小説,詩,劇,映画などの)筋,プロット",I heard an interesting story from my grandmother.
straight,"(比較変化なし)『まっすぐに』,一直線に / 『直立して』,垂直に / 『直ちに』,回り道をしないで / 率直に,端的に",He walked straight to the bus stop.
strange,奇妙な；見慣れない；不慣れな,That is a strange situation.
street,"〈C〉(両側に歩道と建物のある) 街路,通り / …街, ...通り",I'm walking down the street.
strict,"(人が) 厳しい, 厳格な / 〈規則などが〉厳しい / 厳密な, 正確な",The teacher was strict with the students.
strong,"(身体的に)力の強い  / (身体が)じょうぶな,健康な  / 勢力(権力)のある,有力な  / (物が)がんじょうな,堅固な  / (精神的・道徳的に)強い  / 説得力のある,効果的な  / (味・においが)いやな,不快な  / (動きが)激しい,速い  / (程度が)強い,強烈な,濃い  / アルコール分の多い  / 《数詞の後に用いて》…の人員の  / 強く,強力に;激しく,盛んに",He is a strong man.
student,"学生,生徒  / (…の)研究者,学者《+of+名》",The student studies English every day.
study,〈他〉を勉強する / を注意してよく見る / を調査する / 〈自〉勉強する,I study English every day.
subject,"(思考・議論・研究などの)主題, 話題 / 科目, 教科 / (文法で)主語 /",The subject of the lecture was the latest trends in technology.
subway,"《米》地下鉄(《英》underground, tube)  / 地下道(underpass)",I took the subway to work.
successful,成功した /  順調な,He was a successful entrepreneur.
sugar,〈U〉砂糖 / 《話》(恋人に対して呼び掛けて)ねえ,I love the sweet taste of sugar.
suggestion,提案、忠告 / 示唆,I have a suggestion for you.
sum,"〈C〉《the》(数・量の)合計, 総計 /  《形容詞をつけて》《…の》額《of ...》",The sum of the two numbers is seven.
summer,"〈U〉〈C〉夏  / 《the~》《文》盛り  / 《複数形で》《文》年齢  / 夏の,夏向きの",I'm looking forward to the summer.
sun,"《the~》太陽,日  / 〈U〉《the~》日光  / 〈C〉恒星",The sun is shining brightly today.
Sunday,日曜日(キリスト教の安息日で週の第1日;《略》Sun.),I look forward to Sunday every week.
sunny,"(天候・場所などが)日のよくさす(当たる)  / 雲のない  / (物事が)明るい,陽気な,快活な",The sunny day made everyone happy.
sunshine,"日光  / 日なた  / (物事の)明るさ,陽気,快活",The skies were full of sunshine.
super,"《くだけて》素晴らしい, 最高の",He is doing a super job.
supermarket,スーパーマーケット(食料品や家庭用品などを売るセルフサービス式の大型小売店),I went to the supermarket to buy some food.
sure,"《補語にのみ用いて》(人が)確信して,自信をもって  / 《補語にのみ用いて》(物事が)確実な  / (修事が)確固とした,確実な  / (人が)信頼のおける,安心のできる",The sure way to success is to keep trying.
surf,〈U〉寄せる波,I love to surf in the ocean.
surprise,"〈U〉驚き  / 〈C〉驚くべき物(事)  / 〈U〉不意打ち,急襲",The end of the story was a surprise.
survey,〈C〉〈U〉《…の》(詳細な)調査《of ...》 / 〈C〉《…を》見渡すこと《of ...》,We conducted a survey to find out the needs of our customers.
sweet,"(砂糖のように)甘い;砂糖の入った  / 心地よい,香りのよい,美しい,おいしい  / 新鮮な,腐っていない  / (性質などが)人好きのする,気だてのよい,優しい,親切な  / (酒が)甘口の  /",The sweet aroma of flowers filled the room.
swim,泳ぎ / 泳ぐこと,I love to go for a swim in the ocean.
swim,"泳ぐ,水泳をする  / (水上・空中などに)浮かぶ  / (水などの液体で)いっぱいになる,あふれる《+with+名》・(…に)浸る《+in+名》  / 〈物ず〉ぐるぐる回るように見える;〈頭などが〉くらくらする  / 〈河など〉‘を'泳いで渡る,〈ある距離〉‘を'泳ぐ /《副詞[句]を伴って》〈人など〉‘を'泳がせる;〈船〉‘を'浮かせる",I love to swim in the ocean.
swimming,〈U〉『水泳』 / 〈C〉めまい,I love swimming in the summer.
swimming pool,『水泳プール』,I went to the swimming pool last weekend.
table,"〈C〉テーブル,食卓;(仕事・遊戯などの)台  / 〈U〉《時にa~》食べ物,料理  / 《集合的に》テーブルを囲む人々,一度の人々  / 〈C〉(文字・数字,情報などの並べた)表,配列表,目録  / =tableland",The table was made of wood.
take,"〈他〉を取る / 《...から》を取り上げる《from ...》 / を受け取る / を持って行く / 〈時間など〉を必要とする / 《動作を表す名詞を目的語にして》...をする, を実行する",I will take the bus to school.
talk,"『話す』,しゃべる,物を言う,口を利く  / (考えなどを伝えるために)《〈人〉と〈事〉について》『語る』, 話し合う,論ずる《to, with 〈人〉 about, of, on 〈事〉》  / うわさ話をする;秘密をもらす  / (言語以外の方法で)話す,合図する  / …をことを話す,を論ずる  / 〈言語・方言〉を話す,を使う  / 〈人〉に話す",I love to talk about books.
tall,"(背の)高い  / 《補語にのみ用いて》背たけ(高さ)が…の  / 《話》(話などが)大げさな,誇張した  / (程度・量が)法外な,ものすごい",He is a tall man
taxi,タクシー(taxicabの略),I took a taxi to the airport.
tea,"〈U〉茶,(特に)紅茶  / 〈U〉(乾燥した)茶の葉;茶の木  / 〈U〉茶に似た飲料,煎じ茶  / 〈C〉〈U〉午後のお茶  / 〈C〉〈U〉お茶の会(午後の軽食を出すパーティー)",I'd like to have a cup of tea.
teach,"〈物事・学科など〉‘を'教える,〈人〉‘に'教える  / (…で)教師をする,教える《+at+名》",I teach English at a school.
teacher,"先生,教える人,教師",My teacher teaches me English.
team,"(スポーツの)チーム  / (共に仕事などをする)一団,一組  / (荷車を引く2頭以上の牛馬などの)一組  /",I am a member of the basketball team.
technology,"科学技術,工業技術・科学(工業)技術的な方法(過程)・文明の環境利用(開発)・応用科学; 専門用語",The use of technology is becoming increasingly important in our daily lives.
telephone,〈C〉電話機  / 〈U〉電話(《話》phone)  /,I need to check the telephone number I wrote down yesterday.
television,〈U〉テレビ放送(《略》TV)  / (また television set)〈C〉テレビ[受像機]  / 〈U〉テレビ産業;テレビ放送技術,I bought a new television yesterday.
tell,"…‘を'話す,語る,言う;〈人〉‘に'話す  / 《tell+名〈人〉+to do》(…するように)〈人〉‘に'命じる  / …‘を'見分ける,識別する  / …‘が'分かる,‘を'知る  / …‘を'表す  / 《古》…‘の'数を勘定する,‘を'数える　語る　(…を)物語る,示す《+of+名》  / (人のことを)告げ口する,密告する《+on+名》  / 《can, be able to などを伴う否定文・疑問文で用いて》(…について)分かる,知る《+about+名》  / (…に)力を発揮する,効きめがある,影響する《+on(against)+名》",I will tell you the truth.
temple,"(古代ギリシア・ローマ・エジプトなどの)『神殿』;(ヒンズー教・仏教などの)『寺院』,寺 / (ユダヤ教・モルモン教などの)『神殿』,教会,礼拝堂",The temple was filled with people praying.
ten,"〈C〉(数の)10,10の記号(10,Xなど)  / 〈U〉10時,10分;10歳  / 〈U〉《複数扱い》10人,10個  / 〈C〉10(10人,10個)一組のもの  / 〈C〉(カードケームの)10の札  / 10の,10人の,10個の  / 《補語にのみ用いて》10歳の(で)",I have ten fingers.
tennis,"テニス,庭球",I enjoy playing tennis.
terrible,"恐ろしい,怖い  / ひどい,すさまじい  / 《話》ひどく悪い,不愉快な",The weather was terrible yesterday.
test,"〈C〉(人の能力などの)試験, テスト / 《物事の》 試験 《of ...》 / 化学分析",I need to take a test.
than,"《比較級の後に用いて》…よりも,に比べて  / 《関係代名詞的に用いて》…よりも",She is taller than her sister.
than,"《比較級の後に用いて》…より, ...に比べて",She is taller than her sister.
thank,"(…のことで)〈人〉‘に'感謝する,礼を言う《+名+for+名(doing)》",I thanked her for her help.
thanks,"ありがとう / (…に対する)感謝の言葉(気持ち)《+for+名〈物・事〉,+to+名〈人〉》",I want to express my thanks to you.
that,"《名詞節を導いて》…ということ / 《it is(was)…that…の強調構文に用いられて》…のは… / 《原因・理由・判断の根拠を表す節》…だから,とは,の故に / 《目的・意図を表す節》…するように,するために / 《so(such)と相関して結果を表す節》(とても)…なので,…の結果 / 《範囲・制限を表す節》…する限りでは([[so far as]]) / 《願望・感情を表す節を導いて》《文》…であればよいのだか, …とは驚いた",I understand that you are busy.
that,"あの...,その... / 《this と対照的・相関的に用い,二つのもののうち遠いほうを指して》あの...,その...,あっちの... / 《関係詞の先行詞の前に付いて》(…する)あの",I like that idea.
that,"《人・物・事・時などを指して,あるいは述べたこと全体を受けて》あれ,それ,あの(その)こと(人,物,時)  / 《前に述べた語・句・節を繰り返すことを避けて》(…の)それ  / 《後に述べる語・句・節を指して》  / 《this と対照させて二つのもののうち遠いほうを指して》あれ,そちら,あちら;(this の後者に対して)前者  / 《関係代名詞 which の先行詞に用いて》(…するところの)もの,こと",I'm not sure if I can do that.
the,"《前述の名詞または文脈でそれと分かる名詞に付けて》『その』,あの,名の / 《唯一の事物に付けて》 / 《方角・自然現象に付けて》 / 《用具・楽器・特定の病気などに付けて》 / 《修飾吾[句]を伴う名詞に付けて》 / 《単数普通名詞に付けて》(1)《種族全体》…『というもの』 / 《複数名詞または集合名詞に付けて》 / 《単位》『…につき;…単位[で]』 / 《身体の一部に付けて,所有格に...",The game is over.
theater/theatre,"〈C〉劇場, 映画館 / 《the》劇, 演劇 / (事件・活動の)現場,舞台",I love going to the theater to watch plays.
their,"彼らの, 彼女らの, それらの",Their house is very big.
them,"彼らを, 彼女らを, それらを, それらに",Let them come in.
then,"その時,あの時,そのころ  / (時間・場所・順番などが)それから,その次に,隣に,その[すぐ]後で  / その上,それに  / 《通例文頭または文尾において》それでは,それなら,その結果  / その時の,当時の  / その時",I'll do my homework now and then I'll go out.
there,"そこで(に,へ) / その時に / その点で / 《文頭に置いて》そら,あれ / 《その場にいる人に》そこの人 / 《名詞の後に用いて》そこの,あそこの / 《~ is, are ...》…がある",We can find the answer if we look there.
these,"これらの,この,こちらの / 現在までの, 最近の / 次の, 次に述べる",These books are mine.
these,"これら,これ,こちら",These are the rules we must follow.
they,"彼らは, 彼女らは, それらが, それらは / (一般に) 人々, 世間の人",They are going to the movies tonight.
thick,厚い / 太い / 濃い / 密な,The thick book is difficult to carry.
thin,"薄い  / 細い  / やせた,やつれた  / (液体・気体が)薄い,希薄な  / まばらな,密集していない  / 内容のない,見え透いた  / (音・声が)か細い  / 薄く,細く,まばらに  / …‘を'薄くする,細くする,まばらにする  / 薄くなる,細くなる,まばらになる",She is very thin.
thing,"〈C〉(形のある)物,物体;(生物に対しての)無生物  / 〈C〉(形のない)もの,事,事柄,でき事  / 《複数形で》事情,事態,状勢,状況  / 《複数形で》(すべての)事物,事柄  / 《通例 the~》(努力・活動などの)目的,目標  / 〈C〉衣服,衣類・《one's things》持ち物,所持品,身の回り品  / 《複数形で》道具,用具・〈C〉《親愛・哀れみ・軽べつなどの感情をこめて》人,者,やつ  / 《the~》《話》(…の)流行《+in+名》",I have a thing for you.
think,〈他〉を考える / ...と思う《~ that ...》 / ...を企てる / 〈自〉考える,I think the answer is correct.
thirteen,"〈C〉(数の)13;13の記号  / 〈U〉(24時間制の)13時,13分,13歳  / 《複数扱い》13人,13個  / 13の,13人の,13個の  / 《補語にのみ用いて》13歳の(で)",There are thirteen students in the classroom.
thirty,"〈C〉(数の)30;30の記号(30,XXX など)  / 〈C〉30分,30歳  / 《複数扱い》30個;30人《the thirties》(世紀の)30年代  / 30の,30人の,30個の  / 《補語にのみ用いて》30歳(で)",I have thirty books on my shelf.
this,"この / 今の, 現在の, 最近の / 《that と対照的に》この,こっちの",I like this book.
this,"《近くの人・物・事を指して》これ,この人,こちら  / 《時間・場所を指して》今,現在,今日;ここ  / 《次に述べること・今述べたことを指して》このこと,これ,こういうこと  / 《that と対照的に》  / (that の前者に対して)後者",I will do this [[by myself|by oneself]].
those,"あれらの... ,あの... , それらの... ,その... / 《those…who(which)…の形で》…するような... , …であるような...",Those books are mine.
those,"それら, あれら, あの人たち  / 《複数名詞の反復を避けて》《…の》それ《of ...》  / 《[[those who…|those who]]の形で》(…である,…する)人たち",Those are my books.
three,"3;3の記号(3,?など)  / 〈U〉3時,3分;3歳  / 《複数扱い》3人;3個  / 〈C〉三つ(3人,3個)一組のもの  / (カードゲーム・さいころなどの)3の札,3の目  / 3の,3人の,3個の  / 《補語にのみ用いて》3歳の(で)",I have three cats.
through,"《運動や状態の変化を表す動詞とともに》(一方の端から他方へ) …を貫いて,通って / 《場所》…の中を, ...じゅうに /  《期間》…じゅうずっと / 《手段・原因》 ...によって / 《完了・終了》…を終わって / 《貫通・通過》…を貫いて,通って",He walked through the forest.
throw,"『投げること』,投球;発射 / 投げて届く距離,射程 / ショール,スカーフ,えりまき",He gave a throw of the dice.
Thursday,"木曜日《略》Thu,Thur.,Thurs.)",I'm looking forward to Thursday.
ticket,"切符,乗車券;入道券;(宝くじなどの)券,礼  / 正礼,値札,(品質・サイズなどの)表示札  / 《米》(政党の)公認候補者名簿  / 《話》交通違反者の呼び出し状  / 《the~》《 話》必要なもの  / 《the ~》《古・話》正しいこと,適なこと",I bought a ticket for the train.
tiger,『トラ』 / トラのようにどう猛な(勇敢な)人,The tiger is a powerful animal.
tight,きっちり締まった / すきまのない / ピンと張った / (衣服などが) きつい / (時間的・空間的に)余裕のない,"The rope was tightened around the package, making it look very tight."
time,"〈U〉《冠詞をつけずに》(空間に対しての)時間,時 / 〈U〉(時計で示される)時刻 / 〈U〉(ある方式で決められる)標準時 / 〈C〉〈U〉(特定の)時,頃 / 〈U〉《しばしば A ~》(ある長さの)期間 / 《しばしば複数形で》(歴史上の)時代 / 〈C〉…回,度 / 〈C〉…倍",I don't have enough time to finish my homework.
tired,"『疲れた』 / 《補語にのみ用いて》『飽きた』,うんざりした;(…に)飽きた《+of+名(doing)》 / (文句などが)陳腐な",I feel so tired after working for a whole day.
to,"【to不定詞】《名詞的用法》『…すること』 / 《形容詞的用法》『…するための,すべき』 / 《副詞的用法》『…するために』,して,するとは,すれば / 《独立用法》 / 《文全体を修飾する慣用語句》…すれば,してみると,…だが",To read books is a great way to learn new things.
to,《方向》...へ / 《適用範囲》...に対して / 《程度・範囲》...まで / 《比較・対比・割合》…と比べて / 《一致・適合》…に合わせて / 《目的・意図》…のために,I am going to the park.
today,"きょう[は],本日[は]  / 現代では,今日では",I am meeting a friend for lunch today.
today,"きょう,本日  / 現代,今日",I have a lot of work to do today.
together,"いっしょに,共に,連れ立って  / 一団(一体)となるように  / 互いに(…し合う)  / 協力して,一致して,調和して  / ひっくるめて,総合して  / 同時に,一度に",We worked together to finish the project.
toilet,"〈C〉(水洗式の)『便器』 / 〈C〉(水洗式便器のある)洗面所,化粧室,浴室;トイレ,便所（アメリカでは「restroom」や「bathroom」と言い換えた呼び方が普通）〈U〉〈C〉化粧,身じたく / 〈U〉〈C〉《文》服装,衣装",I need to use the toilet.
tomato,トマト;トマトの木,I bought a tomato at the store.
tomorrow,"明日に, 明日は",I will meet you tomorrow.
tomorrow,〈U〉明日 / 将来,I will meet her tomorrow.
tonight,"今晩,今夜  / 今夜[は]",Will it snow tonight?
too,"…もまた,その上  / あまりにも,過度に,必要以上に  / 非常に,大変,はなはだ(very, extremely)  / 《話》《相手の否定の言葉に,肯定で応じて》ところがどうして",He worked too hard.
tool,"(金づち・スパナー・のこぎりなど大工・指物仕事をするための)道具,工具  / (機械の部品を切削・加工する)動力機械(器具)  / (2の)切削(加工)部分  / 道具に使われる人,手先  / 《比喩的に》(一般に)道具,手段  /",I bought a new tool for my work.
tooth,"歯  / 歯状の物,(くし・のこぎり・歯車・フォークなど)歯の働きをする物  /",The dentist checked my tooth.
top,"〈C〉《the ~》いちばん上の部分 / 《the ~》《...の》最上面 《of ...》 / 《the ~》《…の》最高位, 首位《of ...》 /  《the ~》《…の》最高の程度,頂点《of ...》",They stood on the top of the hill.
topic,(…の)話題;論題《+of+名》,We discussed a variety of topics yesterday.
touch,"〈U〉触覚, 触感 / 〈C〉触ること / 〈U〉《...の》気味, 気配《of ...》",His touch was gentle and warm.
towel,"タオル,手ぬぐい,手ふき  /",Can you pass me the towel please?
tower,"塔,タワー",The Eiffel Tower is one of the most recognizable structures in the world.
town,"〈C〉町  / 《the~;一つの町を指して言うとき a~》(田舎と区別して)都会;都会生活  / 《冠詞をつけずに》都心,(商店の立ち並ぶ)下町  / 《冠詞をつけずに》(ある地域の)主要な町(市);(一国の)首都  / 《the~》《集合的に;単数扱い》町の人たち,町民",I went to the town yesterday.
toy,"おもちゃ,玩具  / 小さくてちゃちな物  / 《名詞の前にのみ用いて》  / おもちゃの,愛玩用の  /",My daughter loves to play with her new toy.
train,"〈C〉列車, 電車",I take a train to school every day.
travel,"(特に遠くへ)旅行する  / 〈セールスマンなどが〉(…の)注文取りに出る,外交をして回る《+for+名》  / 〈視線・気持ちなどが〉移る,移動する  / 《副詞[句]を伴って》〈音・光などが〉伝わる,進む  / (…と)つきあう《+with(in)+名》  / 《俗》すばやく走る,進む  / 〈ある場所〉‘を'旅行する  / 〈ある距離〉‘を'行く,進む",I travel around the world every year.
tree,"木,樹木;(潅木)(bush, shrub),低木に対し)喬木,高木  / (低木や草質植物でも形が高木に似ている)木;  / 木製具  / 枝分かれした図;系統図;(特に)家系図(family tree)",The tree was very tall.
trip,"旅行,出張；外出；つまづき；",I'm planning a trip to the beach.
trousers,『ズボン』,I bought a new pair of trousers.
truck,"〈C〉運搬車,トロッコ；トラック,貨物自動車",The truck was loaded with supplies.
true,"ほんとうの,真実の  / 本物の,正真正銘の([[real]])  / 誠実な,忠実な,忠誠な([[faithful]])  / 心からの,うそ偽りのない  / 寸分違わない,正確に一致する,適合する  / 正当な,適正な,正しい([[proper]])  / 間違いない,確実な  / 〈機械・器具などが〉正確にできた,正しい位置にある / 〈声などが〉正しい調子の",This is a true story.
try,"試し,試み;努力  / (ラグビーの)トライ",I will give it a try.
T-shirt/tee-shirt,ティーシャツ(丸首の半そでシャツ) / [[tee-shirt]],I bought a new T-shirt yesterday.
tube,"(金属・ガラス・ゴムなどの)管,筒  / (絵の具・歯みがきなどの)チューブ  / 《米》(列車・地下鉄の)トンネル  / 《英》地下鉄(《米》subway)  / (ラジオ・テレビなどの)真空管(vacuum tube)  / (動植物の)管状器官",The tube was too narrow for me to fit through.
Tuesday,"火曜日({略}Tu.,Tues.)",I'm looking forward to Tuesday.
turkey,"〈C〉『シチメンチョウ』(七面鳥) / 〈U〉シチメンチョウに肉 / 〈C〉《話》失敗作,だめなもの,だめな人,いやなやつ",I ate a turkey for dinner last night.
turn,"〈C〉回転,回ること / 〈C〉方向転換,曲がること,折り返し / 〈C〉順番,番 / 〈C〉《a ~》(状況などの)変化,転機 / 〈C〉曲がり角",I watched the turn of the Ferris wheel.
